ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q18538320,First Ion I. C. Brătianu cabinet,1908-12-27,11,,,1909-03-04,11,,,,,,,,,,
,Q18538322,Second Ion I. C. Brătianu cabinet,1909-03-04,11,,,1910-12-28,11,,,,,,,,,,
,Q12729736,Second Carp cabinet,1910-12-29,11,,,1912-03-27,11,,,,,,,,,,
,Q12729744,First Maiorescu cabinet,1912-03-28,11,,,1912-10-14,11,,,,,,,,,,
,Q12729742,Second Maiorescu cabinet,1912-10-14,11,,,1913-12-31,11,,,,,,,,,,
,Q18538324,Third Ion I. C. Brătianu cabinet,1914-01-04,11,,,1916-12-10,11,,,,,,,,,,
,Q12729716,Ion I.C. Brătianu government (4),1916-12-11,11,,,1918-01-28,11,,,,,,,,,,
,Q18537608,First Averescu cabinet,1918-01-29,11,,,1918-03-04,11,,,,,,,,,,
,Q12729671,Q12729671,1918-03-05,11,,,1918-10-23,11,,,,,,,,,,
,Q12729686,Coandă cabinet,1918-10-24,11,,,1918-11-28,11,,,,,,,,,,
,Q12729719,Ion I.C. Brătianu government (5),1918-11-29,11,,,1919-09-26,11,,,,,,,,,,
,Q12729676,Văitoianu cabinet,1919-09-27,11,,,1919-11-30,11,,,,,,,,,,
